zip,top_1,top_2,top_3,top_4,top_5,top_6,top_7,top_8,top_9,top_10,bottom_1,bottom_2,bottom_3,bottom_4,bottom_5,bottom_6,bottom_7,bottom_8,bottom_9,bottom_10
10001,10022,10017,10013,10003,10036,10010,10016,10018,10011,10019,13480,10560,13903,10537,13329,12122,14883,12721,11946,14616
10002,11211,10003,10009,10013,10027,11201,11217,10011,11206,10025,10560,13903,14845,12540,14094,11705,11764,12787,10505,13756
10003,10011,10019,10016,10022,10010,10036,10028,10013,10012,10009,13480,10560,13903,14845,12540,14094,11705,11764,12787,10505
10004,10007,10005,10006,10038,10017,10018,10036,10010,10019,10022,13480,10560,13903,10537,13329,12122,14883,10509,12533,10930
10005,10007,10004,10006,10038,10017,10075,10280,10036,10065,10022,13480,12533,10560,13903,10537,13329,12122,14883,10509,12865
10006,10005,10004,10007,10280,10069,10168,11109,10017,10038,10020,13480,10560,13903,10537,13329,12122,14883,12533,10509,11963
10007,10004,10005,10038,10006,10017,10019,10013,10036,10022,10001,13480,10560,13903,10537,13329,12122,14883,10509,12533,10940
10009,10003,10014,10028,10011,10027,10012,10025,10024,10002,10010,13480,14845,12540,14094,11705,11764,12787,10505,13756,11937
10010,10003,10019,10016,10022,10017,10011,10001,10013,10065,10128,13480,10560,13903,10537,13329,12721,12122,11946,14616,12508
10011,10003,10016,10013,10019,10022,10028,10024,10128,10010,10065,10560,13903,14845,12540,14094,11705,11764,12787,10505,13756
10012,10003,10013,10014,10009,10001,10011,10022,10028,10036,11249,14845,12540,14094,11705,11764,12787,10505,13756,11937,11789
10013,10022,10003,10011,10014,10001,10016,10012,10019,10010,10028,13480,10560,13903,10537,13329,14845,12540,14094,11705,11764
10014,10013,10028,10012,10009,10003,10011,11249,10022,10024,10016,13480,14845,12540,14094,11705,11764,12787,10505,13756,11937
10015,12046,14075,14467,13322,11933,14303,13490,10926,14850,13057,12790,12528,12533,10989,12721,12775,12779,11798,12525,12814
10016,10022,10011,10003,10019,10010,10065,10013,10036,10017,10001,13480,10560,13903,10537,12721,13329,11946,14616,12508,10993
10017,10022,10001,10019,10036,10010,10016,10018,10065,10003,10013,13480,10560,13903,10537,13329,12122,14883,12721,11946,14616
10018,10017,10001,10022,10013,10036,10016,10003,10019,10010,10012,13480,10560,13903,10537,13329,12122,14883,10509,12721,11946
10019,10022,10003,10036,10016,10010,10065,10011,10023,10017,10013,13480,10560,13903,10537,13329,12721,11946,14616,12508,10993
10020,10111,11241,10154,10158,10278,10105,10112,10281,10167,10172,13480,12533,12775,12865,10970,12814,14626,12515,13820,12721
10021,10028,10011,10023,10010,10128,10024,11375,10003,10065,11201,13480,14845,12540,14094,11705,11764,12787,10505,13756,11937
10022,10016,10019,10017,10065,10003,10036,10013,10001,10010,10011,13480,10560,13903,10537,12721,11946,13329,14616,12508,10993
10023,10019,10011,10003,10024,10065,10025,10022,10128,10028,10010,14845,12540,14094,11705,11764,12787,10505,13756,11937,11789
10024,10128,10025,10028,10011,10019,10016,10010,10003,10023,10065,14845,12540,14094,11705,11764,12787,10505,13756,11937,11789
10025,10024,10128,10029,10027,10011,10009,10065,10026,10023,10028,13480,14845,12540,14094,11705,11764,12787,10505,13756,11937
10026,10029,10025,10033,10034,10027,10032,10031,11238,10467,10009,13480,14845,12540,14094,11705,11764,12787,10505,13756,11937
10027,10025,10009,10029,11206,11238,10026,11217,11216,10024,10451,10560,13903,12721,10537,13329,11946,12122,14616,12508,10993
10028,10024,10003,10011,10022,10128,10014,10009,10019,10065,10016,13480,10560,12721,13903,11946,10537,14616,12508,10993,12518
10029,10025,10451,10027,10026,10455,10463,10467,11225,10039,10462,10560,14845,12540,14094,11705,11764,12787,10505,13756,11937
10030,10456,10467,10031,10029,11216,10458,11226,10459,11225,10453,14845,12540,14094,11705,11764,12787,10505,13756,11937,11789
10031,10032,11226,10453,10468,11225,10467,10456,10458,10452,10040,14845,12540,14094,11705,11764,12787,10505,13756,11937,11789
10032,10033,10040,10031,10452,11225,10034,10468,11226,10453,10456,14845,12540,14094,11705,11764,12787,10505,13756,11937,11789
10033,10032,10034,10040,10468,10452,11225,10031,10039,10026,10458,10560,12721,13903,11946,10537,14616,12508,13329,10993,12518
10034,10033,10032,10040,10468,10452,10026,10458,10467,10455,11225,13480,10560,13903,12721,10537,11946,13329,14616,12508,10993
10035,10029,10027,10451,10460,10026,10455,10467,10473,11205,11225,10560,13903,10537,13329,12122,14883,12721,10509,11946,14616
10036,10019,10022,10003,10017,10016,10001,10010,10012,10011,10013,13480,10560,13903,10537,13329,12122,14883,12721,11946,14616
10037,10039,10033,10032,10026,10031,11225,11226,11213,10467,10040,14845,12540,14094,11705,11764,12787,10505,13756,11937,11789
10038,10007,10017,10022,10065,10013,10019,10016,10005,10010,10011,13480,10560,13903,10537,13329,14845,12540,14094,11705,11764
10039,10037,10033,10451,10032,10031,10456,10029,10460,10459,11225,14845,12540,14094,11705,11764,12787,10505,13756,11937,11789
10040,10032,10033,10452,10034,11225,10468,10031,10458,10460,10453,14845,12540,14094,11705,11764,12787,10505,13756,11937,11789
10041,10045,10170,10174,10168,10069,11109,10107,11243,10162,10006,11946,12525,10993,12721,13480,12779,12204,14616,12518,12515
10044,10162,10112,10107,10045,10281,11109,10069,10174,10279,10106,14845,12540,14094,11705,11764,12787,10505,13756,11937,11789
10045,10174,10107,10170,10168,11243,10069,11109,10162,10281,10112,12533,12204,12304,12309,12401,12508,12515,12518,12525,12528
10048,11767,11702,11778,10514,11951,14845,12540,14094,11705,11764,12779,12790,12721,12533,12528,13350,12525,13480,12518,12515
10055,10177,10118,10103,10120,10106,10271,10162,10279,11109,10280,14901,10501,10505,12528,12524,10512,12518,12515,12508,12428
10065,10022,10019,10016,10010,10011,10128,10003,10017,10028,10025,10560,13903,12721,11946,10537,14616,12508,10993,12518,12033
10069,11109,10162,10107,10045,10174,10112,10170,10006,10168,10165,13480,10560,13903,10537,13329,12122,14883,12533,11963,14526
10075,10128,10024,10028,10065,10010,10022,10011,10019,10003,10016,13480,14845,12540,14094,11705,11764,12787,10505,13756,11937
10103,10106,10279,10120,10162,10118,10177,10055,11109,10112,10158,12533,10993,13350,11946,13480,12528,12525,12518,13329,13820
10104,11793,11516,10165,10122,10178,10152,10176,10121,11697,11109,14901,12144,12189,12203,12205,10509,12209,10505,10501,12211
10105,10172,10151,11005,10123,11559,10111,11753,10281,11241,10158,10993,12508,12525,12401,12309,12721,12304,14616,12528,12779
10106,10279,10103,10162,10120,10158,10105,10112,11005,10118,11241,13820,12033,12204,12304,12309,12401,12508,12515,11946,12518
10107,10045,10281,10112,10174,10170,10111,10162,10172,10105,10069,12204,12304,12309,12401,12508,12515,12518,13820,12033,12525
10110,10112,10123,10167,11753,11559,10151,11371,10172,11242,10105,12721,12204,14616,12304,13820,12309,13480,14621,13350,12401
10111,10154,10281,10105,10172,10020,10112,11241,11005,10123,10167,12775,12814,12515,12508,10993,12401,10560,12518,12122,13329
10112,10281,10105,10107,10172,10111,11005,10162,10279,11241,10158,14526,11950,13480,12533,12865,10970,12814,14626,12515,12721
10115,10167,10151,10123,11559,10105,11359,11371,11753,11242,11005,12122,12309,12401,12508,12515,12518,12525,12528,12304,12533
10118,10177,10103,10055,10120,10162,10106,10279,10271,11109,10069,12033,12814,12304,12721,12309,12865,14616,12204,12401,14621
10119,10169,10166,11359,10152,11697,10170,10176,10165,10178,10107,13480,14526,12533,12865,12515,12721,11946,14616,12508,10993
10120,10103,10106,10055,10118,10279,10177,10162,10271,10158,10112,12775,12304,14616,10560,12779,12790,12814,12865,12204,13329
10121,10152,10165,10170,11430,11109,10174,11963,10528,10560,13903,12865,12508,12533,10993,12033,13820,12814,12790,11946,12518
10122,10165,11793,11516,10104,10178,10152,11109,10174,10168,11243,10537,13820,13480,13350,13329,12865,12814,12790,10930,12779
